fsid,birthcountry,birthcounty,ns_birthplace_y
LL9C-5GL,Sweden,Norrbotten,Åkerby Edefors Norrbotten Sweden
99ZZ-FCL,Sweden,Norrbotten,Gammelstaden Pitea Norrbotten Sweden
KVG4-PVS,Sweden,Norrbotten,NorrvikJokkmokkNorrbottenSverige
L1YY-2CR,Sweden,Norrbotten,Sikfors 7 Gammelgården Piteå lands Norrbotten  County Sweden
KJZJ-VGF,Sweden,Norrbotten,ForstraskOverluleaNorrbottenSweden
LHT8-YH7,Sweden,Norrbotten,Brändön Nederluleå Norrbotten Sweden
GM1S-FBP,Sweden,Norrbotten,Ängesån Överkalix Norrbotten Sweden
L8WG-RQT,Sweden,Norrbotten,NikkalaNedertårneå Norrbotten Sweden
KHB4-CN5,Sweden,Norrbotten,Holmnäs Arvidsjaur Norrbottens län
LHN9-8PY,Sweden,Norrbotten,Pitkäjärvi Norrbotten Sverige
LCYS-JHC,Sweden,Norrbotten,Lautakoski Pajala Norrbotten Sweden
GQ1Q-9F6,Sweden,Norrbotten,
G4BG-XXX,Sweden,Norrbotten,Trundavan nr4 Piteå landsf Norrbotten
GMPS-KBV,Sweden,Norrbotten,Kilvoby Norrbotten Sweden
K2YP-KXF,Sweden,Norrbotten,Langviken Pitea Lfs. Norrb. Sweden
9KGG-6QD,Sweden,Norrbotten,Brännlund Arvidsjaur Norrbotten Sweden
L1RQ-ZR2,Sweden,Norrbotten,Kuivakangas Öfvertorneå Norrbotten Sverige
G91H-K8L,Sweden,Norrbotten,Pallakka Norrbotten Sweden
G3KZ-C1X,Sweden,Norrbotten,Seskarö Norrbotten Sverige
MMFN-TXN,Sweden,Norrbotten,KilfvoGallivareNorrbottenSweden
KFTL-RD5,Sweden,Norrbotten,Svartla Norrbotten Swed.
MMXT-96K,Sweden,Norrbotten,Långnäs Piteå Norrbotten Sverige
GW6B-2B4,Sweden,Norrbotten,Saittajärvi (Saittarova) Norrbotten Sweden
K2XY-5NB,Sweden,Norrbotten, Pello Norrbotten Sverige
G3SZ-BX6,Sweden,Norrbotten,Järvträsk Norrbotten Sweden
G9RL-4ZH,Sweden,Norrbotten,Koskullskulle Gellivare Norrbotten Sweden
MJ2Y-GV7,Sweden,Norrbotten,Övre  Vojakala Norrbotten Sweden
KCC7-9FY,Sweden,Norrbotten,Bennsbyn Norrbotten Sweden
M73W-XWK,Sweden,Norrbotten,Blasmark Pitea Norrbotten Sweden
LBBC-8B6,Sweden,Norrbotten,Junosuando Pajala Kommun Norrbottens län Sverige
KZLQ-W1F,Sweden,Norrbotten,Jämtön RANEANORRBOTTENSWEDEN
K8GN-TVB,Sweden,Norrbotten,PitholmPitea LandsforsamlingNorrbottenSweden
LBTJ-VNP,Sweden,Norrbotten,Yttermorjärv Norrbotten Sverige
K8MQ-7TQ,Sweden,Norrbotten,of Pitea L.T. Norrbotten Sweden
LCPX-3M8,Sweden,Norrbotten,Fårberget Arvidsjaur Norrbotten Sweden
K2FH-NJG,Sweden,Norrbotten,Öfre Svartlå Edefors Norrbotten Sverige
9NWV-2ZN,Sweden,Norrbotten,"Sjulnäs, Norrbotten, Sweden"
9XJC-1YR,Sweden,Norrbotten,Rian Nederkalix Norrbotten Sweden
GHFF-R2C,Sweden,Norrbotten,Piteå landsförs. Norrbottens län.
KGS9-7SY,Sweden,Norrbotten,Månsbyn Nederkalix Norrbotten Sweden
L4FK-GD2,Sweden,Norrbotten,Innanbäcken Nederkalix Norrbotten Sverige
K82S-2LF,Sweden,Norrbotten,Edefors Överluleå Norrbotten Sweden
K4DY-N52,Sweden,Norrbotten,Börjeslandet Neder-Luleå Norrbotten Sweden
LVX8-TQX,Sweden,Norrbotten,Pavo Karl Gustav Norrbotten Sweden
GZZW-MZQ,Sweden,Norrbotten,Bodstrand Älvsby Norrbotten Sverige
94GH-1GW,Sweden,Norrbotten,Roswik Pitea Norrbotten Sweden
GWS9-9KX,Sweden,Norrbotten,
KCHC-LKS,Sweden,Norrbotten,
K2XG-1FL,Sweden,Norrbotten,Flotträsk Norrbotten
MWGT-5F6,Sweden,Norrbotten,Bjuråhed Norrbotten Sweden
GCSN-B9Z,Sweden,Norrbotten,Pello Svanstein Norrbotten Sweden
L4TX-76X,Sweden,Norrbotten,Alvik Nederlulea N-bottn Swed
L4TC-Q2F,Sweden,Norrbotten,Hortlax Pite lf Norrbotten Sverige
9QHY-22G,Sweden,Norrbotten,Asplunda Arvidsjaur Norrbotten Sweden
L4SK-1QK,Sweden,Norrbotten,Yttermorjarv Norrb. Swe
27FV-89V,Sweden,Norrbotten,BodenÖverluleåNorrbottenSverige
27FN-4P7,Sweden,Norrbotten,Roknäs Norrbotten Sweden
LBZ9-JTB,Sweden,Norrbotten,Sjulsmark 8 Norrbotten Sweden
L8RH-DL5,Sweden,Norrbotten,Fristad Arvidsjaur Norrbotten Sweden
L29L-4XB,Sweden,Norrbotten,GäddträskNederkalix Norrbotten Sweden
LHFP-B63,Sweden,Norrbotten,Pajala Nrbtn Swdn
9ZCY-FNY,Sweden,Norrbotten,Prästholm Norrbotten Sverige
L5Y1-2WY,Sweden,Norrbotten,
G9PY-44G,Sweden,Norrbotten,Heden Öfverkalix Norrbotten Sweden
LB55-DM3,Sweden,Norrbotten,Kopparnäs Norrfjärden Norrbottens Norrbotten Sweden
KNHS-KK4,Sweden,Norrbotten,Overtornea Korpikyla Norbotten Sweden
M4D5-W4W,Sweden,Norrbotten,"Sunderbyn,,, Sweden"
GSGC-ZT9,Sweden,Norrbotten,BovallenNederluleåNorrbottenSverige
KVV4-MBS,Sweden,Norrbotten,Skatamark Sweden
KZ2W-C2P,Sweden,Norrbotten,Standforssel. Ranea Sweden
MTV9-VHD,Sweden,Norrbotten,Korpikyla Mettavainio Karl Gustaf Norbotten Sweden
GCPZ-YB8,Sweden,Norrbotten,Piteå stadsförsamling Norrbotten Sweden
K4P2-JTT,Sweden,Norrbotten,SoutvjarviGallivareNorrbottenSweden
2671-9LW,Sweden,Norrbotten,Arnemark Pitea If Norrbotten Sweden
9D92-74F,Sweden,Norrbotten,
L4JV-9S2,Sweden,Norrbotten,Hietaniemi Norrbottens Sweden
KT4Z-KW8,Sweden,Norrbotten,Kamblunge Nederkalix Norrbotten Sverige
2734-WG8,Sweden,Norrbotten,Saarivuoma Juckasjärvi Norrbotten Sweden
G99W-DV5,Sweden,Norrbotten,KrokforsEdeforsNorrbottenSverige
9XBP-9KW,Sweden,Norrbotten,Köngäs Pajala Norrbotten Sweden
L4SV-5GG,Sweden,Norrbotten,Swensbyn Pitea Norrbotten Sweden
2CBR-19G,Sweden,Norrbotten,Siknas Nederkalix Norrbotten Sweden
GH9Z-DNT,Sweden,Norrbotten,Arbyn Ranea Norbotten Sweden
LC5Q-VX1,Sweden,Norrbotten,Persön 9 Sweden
2YGB-VD1,Sweden,Norrbotten,Rödupp Norrbotten Sweden
GHMC-P58,Sweden,Norrbotten,Zvuotejaur Arvidsjaur Norrbottens län
LWJL-5ZN,Sweden,Norrbotten,Helleström Norrbotten Sweden
GW2Z-67F,Sweden,Norrbotten,PersonNedre LuleaNorr BottenSweden
K24G-TCY,Sweden,Norrbotten,RianNederkalixNrbtnSverige
K2WP-JLY,Sweden,Norrbotten,"Arjeplog, Arjeplog,Norrbotten,Sweden"
GCM5-3K2,Sweden,Norrbotten,Sammakko Norrbotten Sverige
GWWH-2RG,Sweden,Norrbotten,Lansjärv Norrbotten Sweden
G9ZP-7GR,Sweden,Norrbotten,Petbergsliden Norrbotten Sweden
G3KZ-P51,Sweden,Norrbotten,Hundsjön Overluleå Norrbotten Sweden
G33J-NLR,Sweden,Norrbotten,Pello Norrbotten Sweden
M762-ZG3,Sweden,Norrbotten,Goljen Overkalix Norrbotten Sverige
GCSF-YLB,Sweden,Norrbotten,Pello Pello Finland
LK3B-XHB,Sweden,Norrbotten,Storträsk Arvidsjaur Norrbotten Sweden
GH86-CM5,Sweden,Norrbotten,Helsingbyn Hietaniemi Norrbotten Sweden
27SY-DF4,Sweden,Norrbotten,Håkansön Piteå Norrbotten Sverige
