fsid,ns_birthplace_x,word_search,ls_search,ls_ratio,jw_search,jw_ratio,latitude,longitude,country_API,county_API
LL9C-5GL,åkerby edefors norrbotten sweden,LULEÅ,LULEÅ,1.0,LULEÅ,1.0,65.9879945,21.2110424,Sweden,Norrbotten County
99ZZ-FCL,gammelstaden pitea norrbotten sweden,PITEÅ LANDS,PITEÅ LANDS,1.0,PITEÅ LANDS,1.0,None,None,None,
KVG4-PVS,norrvik jokkmokk norrbotten sverige,JOKKMOKK,JOKKMOKK,1.0,JOKKMOKK,1.0,None,None,None,
L1YY-2CR,sikfors 7 gammelgården piteå lands norrbotten county sweden,PITEÅ LANDS,PITEÅ LANDS,1.0,PITEÅ LANDS,1.0,65.5295328,21.1946713,Sweden,Norrbotten County
KJZJ-VGF,forstrask overlulea norrbotten sweden,LULEÅ,LULEÅ,1.0,LULEÅ,1.0,66.0310006,21.1208109,Sweden,Norrbotten County
LHT8-YH7,brändön nederluleå norrbotten sweden,LULEÅ,LULEÅ,1.0,LULEÅ,1.0,None,None,None,
GM1S-FBP,ängesån överkalix norrbotten sweden,ÖVERKALIX,ÖVERKALIX,1.0,ÖVERKALIX,1.0,66.3491607,22.7860531,Sweden,Norrbottens län
L8WG-RQT,nikkala nedertårneå norrbotten sweden,NEDERTORNEÅ,NEDERTORNEÅ,1.0,NEDERTORNEÅ,1.0,65.8258431,24.1674472,Finland,None
KHB4-CN5,holmnäs arvidsjaur norrbottens län sweden,ARVIDSJAUR,ARVIDSJAUR,1.0,ARVIDSJAUR,1.0,None,None,None,
LHN9-8PY,pitkäjärvi norrbotten sverige,Not identified,Not identified,,Not identified,,66.1666667,23.3333333,Sweden,Norrbottens län
LCYS-JHC,lautakoski pajala norrbotten sweden,PAJALA,PAJALA,1.0,PAJALA,1.0,67.3679052,22.3734223,Sweden,Norrbotten County
GQ1Q-9F6,grtrsk norrbotten sweden,Not identified,Not identified,,Not identified,,65.48610579999999,19.7961639,Sweden,Norrbotten County
G4BG-XXX,trundavan nr4 piteå landsf norrbotten sweden,PITEÅ LANDS,PITEÅ LANDS,1.0,PITEÅ LANDS,1.0,65.4136245,21.7590751,Sweden,Norrbotten County
GMPS-KBV,kilvoby norrbotten sweden,Not identified,Not identified,,Not identified,,66.8444696,21.012897,Sweden,Norrbotten County
K2YP-KXF,langviken pitea lfs norrbotten sweden,PITEÅ LANDS,PITEÅ LANDS,1.0,PITEÅ LANDS,1.0,65.316698,21.4800363,Sweden,Norrbotten County
9KGG-6QD,brännlund arvidsjaur norrbotten sweden,ARVIDSJAUR,ARVIDSJAUR,1.0,ARVIDSJAUR,1.0,None,None,None,
L1RQ-ZR2,kuivakangas öfvertorneå norrbotten sverige,ÖVERTORNEÅ,ÖVERTORNEÅ,1.0,ÖVERTORNEÅ,1.0,66.4218685,23.6260091,Sweden,Norrbotten County
G91H-K8L,pallakka norrbotten sweden,Not identified,Not identified,,Not identified,,66.15225939999999,23.4860077,Sweden,Norrbotten County
G3KZ-C1X,seskarö norrbotten sverige,Not identified,Not identified,,Not identified,,65.7349339,23.744574,Sweden,Norrbotten County
MMFN-TXN,kilfvo gallivare norrbotten sweden,GÄLLIVARE,GÄLLIVARE,1.0,GÄLLIVARE,1.0,66.8444696,21.012897,Sweden,Norrbotten County
KFTL-RD5,svartla norrbotten sweden,Not identified,Not identified,,Not identified,,66.01128380000002,21.1771292,Sweden,Norrbotten County
MMXT-96K,långnäs piteå norrbotten sverige,PITEÅ LANDS,PITEÅ LANDS,1.0,PITEÅ LANDS,1.0,65.367914,21.2690617,Sweden,Norrbotten County
GW6B-2B4,saittajärvi saittarova norrbotten sweden,Not identified,Not identified,,Not identified,,67.3439073,22.2676514,Sweden,Norrbottens län
K2XY-5NB,pello norrbotten sverige,Not identified,Not identified,,Not identified,,66.7738401,23.964805,Sweden,Norrbotten County
G3SZ-BX6,järvträsk norrbotten sweden,Not identified,Not identified,,Not identified,,65.2101435,19.4830287,Sweden,Norrbotten County
G9RL-4ZH,koskullskulle gellivare norrbotten sweden,Not identified,Not identified,,GÄLLIVARE,0.9333333333333332,67.1876577,20.746793,Sweden,Norrbotten County
MJ2Y-GV7,övre vojakala norrbotten sweden,Not identified,Not identified,,Not identified,,65.923358,24.0839591,Sweden,Norrbotten County
KCC7-9FY,bennsbyn norrbotten sweden,Not identified,Not identified,,Not identified,,65.640987,22.2352061,Sweden,Norrbotten County
M73W-XWK,blasmark pitea norrbotten sweden,PITEÅ LANDS,PITEÅ LANDS,1.0,PITEÅ LANDS,1.0,65.2652966,21.2928379,Sweden,Norrbotten County
LBBC-8B6,junosuando pajala kommun norrbottens sverige,PAJALA,PAJALA,1.0,PAJALA,1.0,67.4275351,22.5072361,Sweden,Norrbotten County
KZLQ-W1F,jämtön ranea norrbotten sweden,RÅNEÅ,RÅNEÅ,1.0,RÅNEÅ,1.0,65.8560431,22.5003366,Sweden,Norrbotten County
K8GN-TVB,pitholm pitea landsforsamling norrbotten sweden,PITEÅ LANDS,PITEÅ LANDS,1.0,PITEÅ LANDS,1.0,65.3,21.533333,Sweden,Norrbotten County
LBTJ-VNP,yttermorjärv norrbotten sverige,Not identified,Not identified,,Not identified,,66.05,22.7,Sweden,Norrbotten County
K8MQ-7TQ,pitea lt norrbotten sweden,PITEÅ LANDS,PITEÅ LANDS,1.0,PITEÅ LANDS,1.0,65.316698,21.4800363,Sweden,Norrbotten County
LCPX-3M8,fårberget arvidsjaur norrbotten sweden,ARVIDSJAUR,ARVIDSJAUR,1.0,ARVIDSJAUR,1.0,65.5925269,19.1768698,Sweden,Norrbottens län
K2FH-NJG,öfre svartlå edefors norrbotten sverige,LULEÅ,LULEÅ,1.0,LULEÅ,1.0,66.01128380000002,21.1771292,Sweden,Norrbotten County
9NWV-2ZN,sjulnäs norrbotten sweden,Not identified,Not identified,,Not identified,,65.34342699999999,21.2401346,Sweden,Norrbotten County
9XJC-1YR,rian nederkalix norrbotten sweden,NEDERKALIX,NEDERKALIX,1.0,NEDERKALIX,1.0,65.8839055,22.9921983,Sweden,Norrbotten County
