fsid,ns_birthplace,parish_search,latitude,longitude,country_API,county_API
218L-W7J,västerbotten sweden,Not identified,65.3337311,16.5161694,Sweden,Västerbotten County
218L-WSS,sdra renbergsvattnet västerbotten sweden,Not identified,64.56429539999999,20.7790636,Sweden,Västerbottens län
21JN-791,bjurholm västerbotten sweden,BJURHOLM,63.9304056,19.2192125,Sweden,Västerbotten County
21M5-6J2,skellefte landsfrsamling västerbotten sweden,SKELLEFTEÅ,64.7517451,20.918945,Sweden,Västerbottens län
21M9-FMS,skellefteå västerbotten sweden,SKELLEFTEÅ,64.750244,20.950917,Sweden,Västerbotten County
21RB-MP2,umea lands västerbotten sweden,UMEÅ LANDS,63.8258471,20.2630354,Sweden,Västerbotten County
21RG-49G,norsjo västerbotten sweden,NORSJÖ,64.9135093,19.4826413,Sweden,Västerbotten County
21RP-F8S,lycksele västerbotten sweden,LYCKSELE,64.5958098,18.6763669,Sweden,Västerbotten County
21TQ-6XZ,sorsele västerbotten sweden,SORSELE,65.5349378,17.5421752,Sweden,Västerbotten County
242B-7Q8,falträsk lycksele västerbotten sweden,LYCKSELE,64.7937728,18.5414598,Sweden,Västerbotten County
243B-H2R,ramsele västerbotten sweden,Not identified,64.05224,19.55015,Sweden,Västerbotten County
243B-HVM,ramsele degerfors västerbotten sweden,DEGEFORS,None,None,None,
24H1-8GZ,sikeå bygdeå västerbotten sverige,BYGDEÅ,None,None,None,
24MR-P91,bodbyn burträsk västerbotten sverige,BURTRÄSK,64.49369,20.7199687,Sweden,Västerbotten County
24RD-13P,burtrsk västerbotten sweden,BURTRÄSK,64.5197907,20.6566773,Sweden,Västerbotten County
24T9-1X7,fredrika västerbotten sweden,FREDRIKA,64.07311179999999,18.3975766,Sweden,Västerbotten County
24TH-M75,dorotea västernorrland sverige,DOROTEA,64.2617939,16.4152338,Sweden,Västerbotten County
267B-5G1,umeå landsförsamling västerbotten sweden,UMEÅ LANDS,63.83162530000001,20.1678587,Sweden,Västerbottens län
267B-5L5,bygdeå västerbotten sweden,BYGDEÅ,64.0590498,20.8544517,Sweden,Västerbotten County
267B-RM4,sävar västerbotten sweden,SÄVAR,63.90081300000001,20.5519791,Sweden,Västerbotten County
267B-TKX,sävar umeå västerbotten sweden,UMEÅ LANDS,63.90081300000001,20.5519791,Sweden,Västerbotten County
26K6-BZV,tålsmark sävar västerbotten sverige,SÄVAR,63.90081300000001,20.5519791,Sweden,Västerbotten County
26K6-FYG,bullmark umealandsforsaml västerbotten sweden,UMEÅ LANDS,63.8293747,20.2896538,Sweden,Västerbottens län
26K6-GSH,gunnismark savar västerbotten sweden,SÄVAR,None,None,None,
26K6-LVF,savar västerbotten sweden,SÄVAR,63.90081300000001,20.5519791,Sweden,Västerbotten County
26K6-PXS,fårträsk malå västerbotten sweden,MALÅ,65.15474170000002,18.6848019,Sweden,Västerbotten County
26K6-RG8,säfvar västerbotten sweden,Not identified,63.90081300000001,20.5519791,Sweden,Västerbotten County
26K6-T6D,malåträsk malå västerbotten sweden,MALÅ,65.1834025,18.7346143,Sweden,Västerbotten County
26K6-YCM,tålsmark västerbotten sweden,Not identified,64.0233385,20.4840297,Sweden,Västerbotten County
26K6-YQV,savar savar västerbottenn sweden,SÄVAR,63.90081300000001,20.5519791,Sweden,Västerbotten County
26K6-YVJ,botsmark västerbotten sweden,Not identified,64.25899,20.2501901,Sweden,Västerbotten County
26KX-M5R,svar västerbotten sweden,SÄVAR,65.3337311,16.5161694,Sweden,Västerbotten County
26KX-MQQ,tväråmark västerbotten sweden,Not identified,63.916667,20.4666671,Sweden,Västerbotten County
26L3-16W,nyby umeå landsförsamling västerbotten sweden,UMEÅ LANDS,63.8248274,20.2752793,Sweden,Västerbottens län
26L3-1HK,sävar västerbotten sverige,SÄVAR,63.90081300000001,20.5519791,Sweden,Västerbotten County
26L8-6KH,västerbotten västerbotten sweden,Not identified,65.3337311,16.5161694,Sweden,Västerbotten County
26LD-6MK,gullmark bygdea sweden,BYGDEÅ,None,None,None,
26LD-8VL,degerfors västerbotten sweden,DEGEFORS,64.2,19.716667,Sweden,Västerbotten County
26LD-XSK,stenmarken nysätra västerbotten sweden,NYSÄTRA (AC-län),64.51251839999999,21.0625056,Sweden,Västerbotten County
26LQ-42X,aspliden lycksele västerbotten sweden,LYCKSELE,None,None,None,
